Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 141	0:0.93009905; 1:0.06990095	0:0.76136929; 1:0.23863071	0:0.8329206; 1:0.1670794	0:0.83216337; 1:0.16783663	0:0.79883705; 1:0.20116295
character 143	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 144	0:0.99840479; 1:0.00159521	0:0.9989544; 1:0.0010456	0:0.99878287; 1:0.00121713	0:0.9945998; 1:0.0054002	0:0.97808949; 1:0.02191051
character 145	0:0.95944774; 1:0.04055226	0:0.10208347; 1:0.89791653	0:0.23988991; 1:0.76011009	0:0.76915256; 1:0.23084744	0:0.83475583; 1:0.16524417
character 146	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
character 147	0:0.04200474; 1:0.95799526	0:0.0384877; 1:0.9615123	0:0.07428151; 1:0.92571849	0:0.20958243; 1:0.79041757	0:0.43287988; 1:0.56712012
character 148	0:0.12198888; 1:0.87801112	0:0.36616848; 1:0.63383152	0:0.27204715; 1:0.72795285	0:0.26220622; 1:0.73779378	0:0.28915486; 1:0.71084514
character 149	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 150	0:0.1720113; 1:0.8279887	0:0.65401823; 1:0.34598177	0:0.45680757; 1:0.54319243	0:0.39222777; 1:0.60777223	0:0.39863639; 1:0.60136361
character 151	0:0.9036519; 1:0.0963481	0:0.99875243; 1:0.00124757	0:0.99899264; 1:0.00100736	0:0.9971389; 1:0.0028611	0:0.99758374; 1:0.00241626
