Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 529	0:0.19528937; 1:0.80471063
character 531	0:0.5; 1:0.5
character 532	0:0.04200474; 1:0.95799526
character 533	0:0.5; 1:0.5
character 534	0:0.18858305; 1:0.81141695
character 535	0:0.00159521; 1:0.99840479
character 536	0:0.99859055; 1:0.00140945
character 537	0:0.5; 1:0.5
character 538	0:0.99849706; 1:0.00150294
character 539	0:0.99843138; 1:0.00156862
character 540	0:0.09408469; 1:0.90591531
character 541	0:0.99843138; 1:0.00156862
character 542	0:0.00159521; 1:0.99840479
character 543	0:0.5; 1:0.5
character 544	0:0.09408469; 1:0.90591531
character 545	0:0.99840479; 1:0.00159521
character 546	0:0.5; 1:0.5
character 547	0:0.08537079; 1:0.91462921
character 548	0:0.90365191; 1:0.09634809
character 549	0:0.99859055; 1:0.00140945
character 550	0:0.0101172; 1:0.9898828
character 551	0:0.14758506; 1:0.85241494
character 552	0:0.1720113; 1:0.8279887
character 553	0:0.84952492; 1:0.15047508
character 554	0:0.5; 1:0.5
character 555	0:0.84952492; 1:0.15047508
character 556	0:0.1245572; 1:0.8754428
character 557	0:0.5; 1:0.5
character 558	0:0.99843138; 1:0.00156862
character 559	0:0.5; 1:0.5
character 560	0:0.00203534; 1:0.99796466
character 562	0:0.5; 1:0.5
character 563	0:0.22372093; 1:0.77627907
character 564	0:0.08537079; 1:0.91462921
character 565	0:0.5; 1:0.5
character 566	0:0.00159521; 1:0.99840479
character 567	0:0.5; 1:0.5
character 568	0:0.99859055; 1:0.00140945
character 569	0:0.9898828; 1:0.0101172
character 570	0:0.20616872; 1:0.79383128
character 571	0:0.25503397; 1:0.74496603
character 572	0:0.0101172; 1:0.9898828
character 573	0:0.5; 1:0.5
character 574	0:0.5; 1:0.5
character 575	0:0.9036519; 1:0.0963481
character 576	0:0.5; 1:0.5
character 577	0:0.73113966; 1:0.26886034
character 578	0:0.00140945; 1:0.99859055
character 579	0:0.99849706; 1:0.00150294
character 580	0:0.99859055; 1:0.00140945
character 581	0:0.73113966; 1:0.26886034
character 582	0:0.5; 1:0.5
character 583	0:0.26886034; 1:0.73113966
character 584	0:0.90591531; 1:0.09408469
character 585	0:0.84952492; 1:0.15047508
character 586	0:0.90365191; 1:0.09634809
character 587	0:0.5; 1:0.5
character 588	0:0.84952492; 1:0.15047508
character 589	0:0.00159521; 1:0.99840479
character 590	0:0.5; 1:0.5
character 591	0:0.99859055; 1:0.00140945
character 592	0:0.99840479; 1:0.00159521
character 593	0:0.90365191; 1:0.09634809
character 594	0:0.00203534; 1:0.99796466
character 595	0:0.27924262; 1:0.72075738
character 596	0:0.90591531; 1:0.09408469
character 597	0:0.00159521; 1:0.99840479
character 598	0:0.99843138; 1:0.00156862
character 599	0:0.5; 1:0.5
character 600	0:0.99859055; 1:0.00140945
character 604	0:0.9036519; 1:0.0963481
character 605	0:0.1720113; 1:0.8279887
character 606	0:0.18344299; 1:0.81655701
character 607	0:0.30009954; 1:0.69990046
character 608	0:0.1720113; 1:0.8279887
character 610	0:0.90591531; 1:0.09408469
character 611	0:0.5; 1:0.5
character 612	0:0.5; 1:0.5
character 613	0:0.04055226; 1:0.95944774
character 614	0:0.8754428; 1:0.1245572
character 615	0:0.8416051; 1:0.1583949
character 616	0:0.5; 1:0.5
character 617	0:0.1720113; 1:0.8279887
character 618	0:0.5; 1:0.5
character 619	0:0.22372092; 1:0.77627908
character 620	0:0.00159521; 1:0.99840479
character 621	0:0.5; 1:0.5
character 622	0:0.00159521; 1:0.99840479
character 623	0:0.5; 1:0.5
character 625	0:0.9898828; 1:0.0101172
character 626	0:0.08537079; 1:0.91462921
character 627	0:0.66965939; 1:0.33034061
character 628	0:0.9036519; 1:0.0963481
character 629	0:0.12198888; 1:0.87801112
character 630	0:0.5; 1:0.5
character 631	0:0.90365191; 1:0.09634809
